ID,cuis
ROCO_00002,C0040395;C0024947;C0034579;C0004454;C0441633;C0040405
ROCO_00003,C1561542;C0087111;C1550227;C0376495
ROCO_00004,C0043299;C1962945;C1561543;C1306645;C0262950
ROCO_00005,C0043299;C1306645;C1548003;C1962945
ROCO_00008,C1696103;C0772294;C0796494;C0006104;C0221198
ROCO_00009,C1963113;C0016658
ROCO_00010,C0004454;C0376495;C0087111;C1550227
ROCO_00012,C0013687;C1696103;C1507248;C1546613;C0009924
ROCO_00013,C0015726;C0231519;C0423899;C0240795;C1962945;C0015811;C0043299;C1261259;C1306645;C0556030
ROCO_00014,C0003483;C1553386;C1696103;C1837463;C0376152;C1546708;C0771936
ROCO_00017,C3891555;C4255126;C0002978;C1548816;C0018787
ROCO_00018,C0027651;C0018787;C1553386
ROCO_00019,C0002978;C0018787
ROCO_00021,C1561543
ROCO_00024,C0023884
ROCO_00028,C0231881
ROCO_00029,C0772294;C0221198
ROCO_00030,C0030274;C0441633;C0000726
ROCO_00032,C4300092;C0040395;C1696103;C0221198;C0034579;C0772294;C1561542;C0376495;C0087111;C0607422;C0040405
ROCO_00033,C0221198;C0772294
ROCO_00034,C1696103
ROCO_00035,C0030797;C0015811
ROCO_00038,C0023884;C1696103;C0042449
ROCO_00039,C0035139;C0772294
ROCO_00040,C0040405;C0441633;C0034579;C0040395
ROCO_00041,C0027651;C0030797
ROCO_00043,C0751437;C0027530;C3244072;C1696103;C0030797;C1550227;C0751438
ROCO_00045,C0013687;C1546613;C0040395;C4300092;C0034579;C0025066;C0376152;C0024109;C0796494;C0441633;C1837463;C0040405;C1546708
ROCO_00046,C0003483;C1507248;C0772294;C1696103;C0771936;C1837463;C0817096;C0376152;C0796494;C0009924;C1546708;C0221198;C0003842
ROCO_00047,C1837463;C0015811;C0441633;C1546708;C0771936
ROCO_00049,C0027651
ROCO_00051,C0015726;C0028778;C0423899;C1261259;C0043299;C1306645;C0018827
ROCO_00053,C0015726;C0042449;C1261259;C0423899;C0015811
ROCO_00055,C0015726;C2707265;C0772294;C1261259;C0423899;C1837463;C0376152;C0024109;C1546708;C0441633;C0221198
ROCO_00056,C0027651
ROCO_00057,C0935598
ROCO_00058,C0013516;C0002978;C0183129;C0018787
ROCO_00060,C0040395;C1709311;C0034579;C0024109;C0040405
ROCO_00064,C1552858;C0015252;C0035139;C0728940
